TV,Social Media,Influencer,Radio,Sales
17.57987378,1.218985086,Macro,22.282240135832236,173.6120794
14.58854843,5.478277994,Micro,22.097499402851255,140.5407032
25.18369481,2.279885311,Mega,22.19771485635715,197.3528053
12.89827532,1.831454795,Nano,21.74126252143505,184.0478213
28.38052047,4.338469575,Nano,22.607218947882394,318.6274849
6.244162288,0.759346585,Macro,21.397275177369178,42.1961076
17.73913594,7.069535685,Mega,22.678578924953634,229.3025507
10.40053409,2.607022067,Nano,21.664829244203816,89.84006146
19.28371879,0.481806199,Nano,22.88954499157319,224.1129616
5.906967275,3.5879983,Mega,21.922835571908518,140.0247392
22.69323068,0.34962043,Micro,22.09262282959037,226.0179062
20.19360374,4.269134455,Micro,21.78467502698905,158.8948494
16.05076847,1.614349914,Macro,21.58565669010267,147.5554217
19.47415695,4.433751454,Nano,22.197014970353926,252.0522656
11.93316821,0.379865341,Nano,22.439846450601813,144.6284015
33.43132208,3.017408356,Nano,22.563751591679484,351.230812
27.35483097,6.16496891,Mega,22.362015054007244,325.1388659
2.451159611,1.932471284,Mega,21.697769585213553,201.4312428
27.5636699,1.277631295,Micro,22.768505176494024,284.0579455
26.82235002,5.514187222,Nano,23.05433828241093,274.7071
14.6946038,0.474445692,Mega,21.812340184739416,60.56969734
35.7618836,7.309638816,Macro,21.69702665528083,347.3233081
27.29885728,2.750432923,Mega,21.812842270314615,289.5230097
12.01934706,4.631654336,Nano,21.44252765798632,160.0522949
2.609402156,0.055425098,Nano,21.176435121434114,62.00526615
26.81404542,4.200575594,Macro,21.930948488741215,324.1613788
26.92871169,0.550205659,Macro,21.99459065845454,306.9884652
26.65916629,5.058853639,Mega,21.67210249228738,286.0745214
8.275869393,2.131422502,Macro,22.22644259183754,112.1928797
14.33248452,0.653011165,Nano,21.820928059092022,43.05887154
8.781468479,5.393660696,Mega,21.31124479967102,76.39933461
30.46523325,8.791080421,Mega,21.624488032907408,339.3760653
18.28500948,4.157356826,Micro,21.678982676258844,46.11470398
9.711793355,4.085503675,Micro,21.526179766718744,136.2617
12.40064246,0.276897522,Macro,22.755437633844586,184.5479788
31.331044,7.012678356,Macro,22.31405986151163,307.9893433
18.14052759,1.952495587,Mega,21.945256172404317,239.1708881
4.588934853,2.298753596,Mega,21.82446650442906,141.7106381
8.801618847,1.652085483,Mega,21.27841879811554,58.15906088
34.56254581,6.122002938,Macro,21.657275986358115,286.9573333
14.52212352,2.823846857,Nano,21.698796872380665,48.8572496
15.96031563,5.254906229,Micro,22.15053846686911,174.1790953
23.32245121,3.866739527,Mega,21.689154439784257,280.8316239
34.79511805,4.269074383,Nano,21.986436571844514,326.4344483
20.45089437,3.342233746,Nano,22.37627402731099,158.0694068
13.66666813,5.592577136,Macro,21.854172507410844,167.1352804
13.36586735,0.012138363,Macro,22.012916353638452,116.2374967
8.898194437,2.816417418,Macro,21.64900056857276,144.07533
23.9546322,3.203461356,Micro,21.946675034276115,283.78129
19.8795092,8.274529348,Micro,21.70388726147306,201.4251375
34.89357897,6.591226551,Nano,21.748612951315796,352.3186779
27.03638314,3.360608235,Mega,23.083488544854227,350.2026445
19.01537456,6.543306951,Mega,22.410739773523673,153.5822256
12.27441919,0.323515501,Nano,22.045398281731902,95.35275739
2.353887518,1.093828271,Nano,21.725915240388517,81.69957779
8.430632401,1.893366838,Micro,22.615303988730965,138.6744703
16.92417111,6.447476349,Nano,21.580015915893707,54.65466518
29.56295098,2.060719698,Micro,21.769746337453842,263.105633
17.99966763,0.689676121,Nano,22.89737307523301,210.8050442
16.06927787,0.357098302,Macro,21.924887002154556,273.4946458
22.0455874,0.180601963,Mega,21.969008474342164,213.9523895
16.82069081,2.86187438,Micro,21.87243292730403,201.5816832
14.26513655,0.454169997,Mega,22.129294199192813,166.3548254
19.83461673,7.641127922,Nano,21.556921474620772,210.2300459
4.338843042,0.028073247,Mega,22.19070378755808,139.8343646
25.69788544,4.923816865,Mega,21.72226037151178,321.7198206
24.33346963,4.355745346,Mega,21.920787458045726,283.1252094
32.11362476,2.522217397,Nano,22.975551686726014,255.7732487
36.71377854,8.103656838,Micro,22.476767365821654,320.6784079
14.74315816,5.086102811,Micro,21.542857667358604,152.6018822
19.00447338,0.255726683,Macro,21.700666149002252,224.7741278
24.73579762,4.85653667,Nano,21.810235488439922,279.5227695
26.53276921,4.872160564,Mega,22.370227003948322,295.9333467
24.62803209,9.751647012,Micro,21.76875561157158,314.4924171
37.55223206,6.093938019,Macro,22.75599607356296,348.6783865
18.1590474,4.246496176,Mega,21.816031274976506,274.0939965
25.30886812,0.888742374,Macro,22.905098671321994,314.1227914
13.42866192,2.739675375,Mega,22.317478583364455,178.1463431
4.583280072,1.76559653,Mega,22.447982265117997,88.89097675
23.93088014,3.943732847,Mega,21.763839176871205,275.0988049
2.690565148,3.009390089,Macro,21.87536429104471,119.7507053
24.9112458,3.124255381,Nano,22.086174235040573,236.6491764
7.59338776,0.350837784,Nano,22.738158619763674,154.3461066
18.38397312,0.704457411,Macro,22.45079999628312,186.0817907
14.88018119,2.367556821,Macro,21.549423211836938,197.225133
6.122317863,2.606806497,Mega,22.202103803107388,104.5246807
5.369133391,0.821603124,Macro,21.31551546885479,89.40602806
17.33275169,0.428533543,Macro,22.602379352910514,143.7043014
29.23658685,8.323847071,Nano,21.638881319652718,210.1216408
14.65663336,3.817979653,Micro,22.39909952690406,191.5212661
32.43091127,1.524148306,Macro,22.287093308446707,265.8749687
6.58132946,1.641510704,Macro,21.45595639896,148.4648245
20.50277946,2.798563099,Nano,22.364607115597114,203.4127627
32.72043521,4.622529206,Mega,21.654770304290786,355.3688708
0.215380634,2.2912306,Macro,22.076926437269584,77.9952183
0.898598086,0.364684826,Mega,21.52261128167495,71.64470129
22.37705463,5.517499206,Nano,22.566102805681275,134.1887091
14.43895625,2.954981196,Micro,21.845330864001777,220.228013
26.8080032,5.01968692,Nano,21.646053992254604,314.6571263
18.16916172,0.137570341,Macro,22.012798407487818,204.3054142
5.283799574,0.056516876,Nano,22.027668500884676,137.1191055
9.848337664,3.852180825,Micro,21.104258559845075,36.57490709
23.67261088,3.107645702,Micro,21.84676545507149,298.9033009
18.05932459,1.510221039,Mega,22.153735622109124,231.3045141
27.30421498,6.617741832,Macro,21.64348759352787,298.9910789
